fold,auc,rec,pre
0,0.6063391546333019,0.46808510638297873,0.1506849315068493
1,0.7904556823197402,0.8311688311688312,0.20846905537459284
2,0.8053561919755516,0.7978723404255319,0.30364372469635625
3,0.4801467174296592,0.24793388429752067,0.1048951048951049
4,0.7164339419978518,0.7142857142857143,0.17350157728706625
5,0.7298341330031471,0.7261904761904762,0.1986970684039088
6,0.5828241924789239,0.4673913043478261,0.134375
7,0.6712897347641222,0.5909090909090909,0.22569444444444445
8,0.49038221453951786,0.3504273504273504,0.11081081081081082
9,0.6906973264166001,0.6517857142857143,0.23174603174603176
10,0.6806753800796164,0.5898876404494382,0.35714285714285715
11,0.6755977106987907,0.6739130434782609,0.09253731343283582
12,0.5792170141194175,0.5196078431372549,0.14209115281501342
13,0.6660437940835878,0.6335403726708074,0.2905982905982906
14,0.7478272700988144,0.7769784172661871,0.31213872832369943
15,0.6410721674367285,0.6397058823529411,0.22193877551020408
16,0.7497685185185184,0.837037037037037,0.275609756097561
17,0.671155388825972,0.6979166666666666,0.17585301837270342
18,0.6015068345710902,0.5644171779141104,0.22942643391521197
19,0.7374345847554039,0.79,0.22191011235955055
20,0.6778174637744286,0.6410256410256411,0.2840909090909091
21,0.49213793616177637,0.3556701030927835,0.18253968253968253
22,0.5800852116547554,0.5176470588235295,0.2233502538071066
23,0.5670284666933959,0.3670886075949367,0.2196969696969697
24,0.7061974517574725,0.646551724137931,0.25597269624573377
25,0.5207126364843492,0.2992125984251969,0.1366906474820144
26,0.6712300389455118,0.6091954022988506,0.16987179487179488
27,0.7330207305034551,0.7,0.10566037735849057
28,0.598100859402592,0.3811659192825112,0.3541666666666667
29,0.46560961187517214,0.21991701244813278,0.1840277777777778
30,0.7505154639175258,0.7010309278350515,0.2625482625482625
31,0.63130081300813,0.4959349593495935,0.21942446043165467
32,0.4663081494540491,0.20382165605095542,0.11636363636363636
33,0.6652296768584263,0.5149253731343284,0.2875
34,0.559334903362027,0.3282442748091603,0.17916666666666667
35,0.7930757100304242,0.7761194029850746,0.36879432624113473
36,0.6578921534942621,0.5533980582524272,0.1952054794520548
37,0.6869639794168095,0.5909090909090909,0.2736842105263158
38,0.6522853128357714,0.5675675675675675,0.19626168224299065
39,0.6879421401444635,0.6730769230769231,0.1023391812865497
40,0.5959552270105903,0.4318181818181818,0.31353135313531355
41,0.48823463863532945,0.25663716814159293,0.09797297297297297
42,0.7559101654846335,0.7340425531914894,0.24381625441696114
43,0.714618742453794,0.7117117117117117,0.2237960339943343
44,0.646864704091931,0.5023041474654378,0.3771626297577855
45,0.5794464794464795,0.46153846153846156,0.17341040462427745
46,0.6666524665587459,0.6528925619834711,0.20308483290488433
47,0.6620354939625179,0.5794871794871795,0.3353115727002967
48,0.5706605222734255,0.38095238095238093,0.2571428571428571
49,0.4916062056190183,0.2911392405063291,0.0705521472392638
