mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2132612228393556,0.05445815156524724,0.009002876281738282,0.0010271384452286971,gini,5,11,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 11})",0.6966755260209782,0.6450230896096757,0.6520731897704098,0.6093782757556881,0.6814016134217016,0.6569103389156907,0.030348292764538886,1
1.2532187461853028,0.050075556467030116,0.011447000503540038,0.0011498071145056535,gini,5,10,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10})",0.6961180591747811,0.6451160823783143,0.6520731897704098,0.6094669181774546,0.6814016134217016,0.6568351725845323,0.030167599425296,2
1.2099690437316895,0.06614176052484311,0.010015487670898438,0.0013281225194610939,gini,5,8,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 8})",0.6961180591747811,0.6450219055271281,0.6520731897704098,0.6095233652008933,0.6814016134217016,0.6568276266189828,0.03015722728089772,3
1.2182463645935058,0.05302310416457174,0.01153702735900879,0.0003464365002539718,gini,5,25,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 25})",0.6952665371642017,0.645262866325538,0.6528146984495595,0.6093404482641804,0.6814016134217016,0.6568172327250362,0.029954330279133204,4
1.2640456676483154,0.06129533395478303,0.009951543807983399,0.0017326144866916565,gini,5,23,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 23})",0.6952665371642017,0.6447770541717766,0.6528366524534819,0.6096898481940738,0.6814016134217016,0.6567943410810471,0.029881564408776325,5
1.2184404373168944,0.05382867386245925,0.010310506820678711,0.0006446585777232125,gini,5,21,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 21})",0.6952665371642017,0.6447920243582697,0.6524455296769347,0.6097777760965561,0.6814016134217016,0.6567366961435328,0.029863476887653232,6
1.1950194835662842,0.07911012667956274,0.009949779510498047,0.0017342897149288084,gini,5,2,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2})",0.6961180591747811,0.6444886877828055,0.6520820689453296,0.6095401774193412,0.6814365910833499,0.6567331168811215,0.030199891201867068,7
1.264323091506958,0.1252953365820622,0.009234476089477538,0.0014915784633634816,gini,5,1,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1})",0.6961180591747811,0.6444886877828055,0.6520820689453296,0.6095401774193412,0.6814365910833499,0.6567331168811215,0.030199891201867068,7
1.2395227432250977,0.051757590666702304,0.009824419021606445,0.0014758657636328352,gini,5,4,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4})",0.6961180591747811,0.6444886877828055,0.6520820689453296,0.6095401774193412,0.6814016134217016,0.6567261213487918,0.03019417156422122,9
1.3058107852935792,0.1267043682246319,0.010593223571777343,0.0011406700362822538,gini,5,3,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 3})",0.6961180591747811,0.6444886877828055,0.6520820689453296,0.6095401774193412,0.6814016134217016,0.6567261213487918,0.03019417156422122,9
1.276108741760254,0.05722912778515643,0.011597299575805664,0.0016082991231072103,gini,5,5,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5})",0.6961180591747811,0.6444886877828055,0.6520731897704098,0.6095401774193412,0.6814016134217016,0.6567243455138079,0.030194444906396865,11
1.1942604541778565,0.06201218085909985,0.00990757942199707,0.0009346008252124397,gini,5,24,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 24})",0.6952665371642017,0.6446872330528185,0.6528366524534819,0.6093404482641804,0.6814016134217016,0.6567064968712768,0.029999021477496605,12
1.2101418018341064,0.049901585861864155,0.009613513946533203,0.0008174012330384732,gini,5,7,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 7})",0.6961180591747811,0.6443597073624561,0.6520731897704098,0.6095208433681262,0.6814016134217016,0.6566946826194949,0.030210978034962057,13
1.2186137199401856,0.05205064344399943,0.009565019607543945,0.0010783273196967333,gini,5,15,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 15})",0.6952665371642017,0.644930223707024,0.6520731897704098,0.6097891243440083,0.6814016134217016,0.6566921376814692,0.029860048382720106,14
1.222029161453247,0.06953456462700967,0.011211490631103516,0.001238564619614923,gini,5,22,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 22})",0.6952665371642017,0.6448365966084494,0.6525268570647985,0.6093643216143765,0.6814016134217016,0.6566791851747056,0.029987888349810973,15
1.211867904663086,0.05199798037999125,0.01111760139465332,0.0006612955335262056,gini,5,6,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 6})",0.6961180591747811,0.6443514187846238,0.6520731897704098,0.609443507163266,0.6814016134217016,0.6566775576629564,0.030235811623341435,16
1.216995620727539,0.04495702816334514,0.009923839569091797,0.0016093781116474357,gini,5,26,"OrderedDict({'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 26})",0.6945717095700894,0.6452645578720344,0.652504903060876,0.6096141932110583,0.6814016134217016,0.6566713954271519,0.029698058442412356,17
